,week,time,use,sid,count
18563,1,14,1,ME19B253,1
18564,1,14,1,ME19B253,1
18565,1,14,0,ME19B253,1
18566,1,14,0,ME19B253,1
18567,1,15,1,ME19B253,1
18568,1,15,1,ME19B253,1
18569,2,11,0,ME19B253,1
18570,2,11,0,ME19B253,1
18571,3,11,0,ME19B253,1
18572,3,11,0,ME19B253,1
18573,3,12,1,ME19B253,1
18574,3,12,1,ME19B253,1
18575,3,12,1,ME19B253,1
18576,3,12,1,ME19B253,1
18577,3,12,1,ME19B253,1
18578,3,12,1,ME19B253,1
18579,3,14,1,ME19B253,1
18580,3,14,1,ME19B253,1
18581,1,16,1,50130013,1
18582,1,16,1,50130013,1
18583,1,17,1,50130013,1
18584,1,17,1,50130013,1
18585,1,17,0,50130013,1
18586,1,17,0,50130013,1
18587,1,18,0,50130013,1
18588,1,19,0,50130013,1
18589,1,19,0,50130013,1
18590,1,20,0,50130013,1
18591,1,20,0,50130013,1
18592,1,21,0,50130013,1
18593,1,21,0,50130013,1
18594,1,22,0,50130013,1
18595,1,22,0,50130013,1
18596,1,23,1,50130013,1
18597,2,0,1,50130013,1
18598,2,0,1,50130013,1
18599,2,0,0,50130013,1
18600,2,0,0,50130013,1
18601,2,1,0,50130013,1
18602,2,1,0,50130013,1
18603,2,2,0,50130013,1
18604,2,2,0,50130013,1
18605,2,3,0,50130013,1
18606,2,3,0,50130013,1
18607,2,4,0,50130013,1
18608,2,4,0,50130013,1
18609,2,5,0,50130013,1
18610,2,5,0,50130013,1
18611,2,6,0,50130013,1
18612,2,6,0,50130013,1
18613,2,7,1,50130013,1
18614,2,8,0,50130013,1
18615,2,8,0,50130013,1
18616,2,9,0,50130013,1
18617,2,9,0,50130013,1
18618,2,10,0,50130013,1
18619,2,10,0,50130013,1
18620,2,11,1,50130013,1
18621,2,11,0,50130013,1
18622,2,11,0,50130013,1
18623,2,12,0,50130013,1
18624,2,12,0,50130013,1
18625,2,13,1,50130013,1
18626,2,13,0,50130013,1
18627,2,13,0,50130013,1
18628,2,14,1,50130013,1
18629,2,14,0,50130013,1
18630,2,14,0,50130013,1
18631,2,15,1,50130013,1
18632,2,15,1,50130013,1
18633,2,15,1,50130013,1
18634,2,15,1,50130013,1
18635,2,15,0,50130013,1
18636,2,16,0,50130013,1
18637,2,16,0,50130013,1
18638,2,17,1,50130013,1
18639,2,18,0,50130013,1
18640,2,18,0,50130013,1
18641,2,19,0,50130013,1
18642,2,19,0,50130013,1
18643,2,20,0,50130013,1
18644,2,20,0,50130013,1
18645,2,21,0,50130013,1
18646,2,21,0,50130013,1
18647,2,22,0,50130013,1
18648,2,22,0,50130013,1
18649,2,23,1,50130013,1
18650,3,0,0,50130013,1
18651,3,0,0,50130013,1
18652,3,1,0,50130013,1
18653,3,1,0,50130013,1
18654,3,2,0,50130013,1
18655,3,2,0,50130013,1
18656,3,3,0,50130013,1
18657,3,3,0,50130013,1
18658,3,4,0,50130013,1
18659,3,4,0,50130013,1
18660,3,5,0,50130013,1
18661,3,5,0,50130013,1
18662,3,6,0,50130013,1
18663,3,6,0,50130013,1
18664,3,7,0,50130013,1
18665,3,7,0,50130013,1
18666,3,8,0,50130013,1
18667,3,8,0,50130013,1
18668,3,9,1,50130013,1
18669,3,9,0,50130013,1
18670,3,9,0,50130013,1
18671,3,10,1,50130013,1
18672,3,10,0,50130013,1
18673,3,10,0,50130013,1
18674,3,11,0,50130013,1
18675,3,11,0,50130013,1
18676,3,12,0,50130013,1
18677,3,12,0,50130013,1
18678,3,13,0,50130013,1
18679,3,13,0,50130013,1
18680,3,14,0,50130013,1
18681,3,15,0,50130013,1
18682,3,15,0,50130013,1
18683,3,16,0,50130013,1
18684,3,16,0,50130013,1
18685,3,17,0,50130013,1
18686,3,18,0,50130013,1
18687,3,18,0,50130013,1
18688,3,19,0,50130013,1
18689,3,19,0,50130013,1
18690,3,20,0,50130013,1
18691,3,21,0,50130013,1
18692,3,22,0,50130013,1
18693,3,23,0,50130013,1
18694,4,0,0,50130013,1
18695,4,1,0,50130013,1
18696,4,2,0,50130013,1
18697,4,3,0,50130013,1
18698,4,4,0,50130013,1
18699,4,5,0,50130013,1
18700,4,6,0,50130013,1
18701,4,7,0,50130013,1
18702,4,8,0,50130013,1
18703,4,9,0,50130013,1
18704,4,10,0,50130013,1
18705,4,11,0,50130013,1
18706,4,12,0,50130013,1
18707,4,13,0,50130013,1
18708,4,14,0,50130013,1
18709,4,15,0,50130013,1
18710,4,16,0,50130013,1
18711,4,17,0,50130013,1
18712,4,18,0,50130013,1
18713,4,19,0,50130013,1
18714,4,20,0,50130013,1
18715,4,21,0,50130013,1
18716,4,22,0,50130013,1
18717,4,23,0,50130013,1
18718,5,0,0,50130013,1
18719,5,1,0,50130013,1
18720,5,2,0,50130013,1
18721,5,3,0,50130013,1
18722,5,4,0,50130013,1
18723,5,5,0,50130013,1
18724,5,6,0,50130013,1
18725,5,7,0,50130013,1
18726,5,8,0,50130013,1
18727,5,9,0,50130013,1
18728,5,10,0,50130013,1
18729,5,11,0,50130013,1
18730,5,12,0,50130013,1
18731,5,13,0,50130013,1
18732,5,14,0,50130013,1
18733,5,15,0,50130013,1
18734,5,16,0,50130013,1
18735,5,17,0,50130013,1
18736,5,18,0,50130013,1
18737,5,19,0,50130013,1
18738,5,20,0,50130013,1
18739,5,21,0,50130013,1
18740,5,22,0,50130013,1
18741,5,23,0,50130013,1
18742,6,0,0,50130013,1
18743,6,1,0,50130013,1
18744,6,2,0,50130013,1
18745,6,3,0,50130013,1
18746,6,4,0,50130013,1
