"id","start_date","start_time","end_date","end_time"
"441500020","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:15:33"
"441500020","2020-10-15 Thu","20:23:54","2020-10-15 Thu","21:14:06"
"441500020","2020-10-15 Thu","21:37:21","2020-10-15 Thu","22:00:08"
"441500020","2020-10-16 Fri","01:48:49","2020-10-16 Fri","13:50:50"
"441500020","2020-10-16 Fri","13:58:44","2020-10-16 Fri","14:32:01"
"441500020","2020-10-16 Fri","14:40:47","2020-10-16 Fri","15:58:56"
"441500030","2020-10-15 Thu","19:01:41","2020-10-15 Thu","19:16:17"
"441500030","2020-10-15 Thu","19:46:11","2020-10-15 Thu","20:01:26"
"441500030","2020-10-15 Thu","21:37:21","2020-10-15 Thu","22:00:08"
"441500030","2020-10-15 Thu","23:55:13","2020-10-16 Fri","00:18:41"
"441500030","2020-10-16 Fri","01:25:11","2020-10-16 Fri","13:50:50"
"441500030","2020-10-16 Fri","14:32:01",\t,\t
"441500040","2020-10-16 Fri","13:43:03","2020-10-16 Fri","14:15:22"
"441500040","2020-10-16 Fri","14:22:43","2020-10-16 Fri","14:32:01"
"441500050","2020-10-15 Thu","16:43:50","2020-10-15 Thu","16:51:30"
"441500050","2020-10-15 Thu","17:13:03","2020-10-15 Thu","17:52:20"
"441500050","2020-10-15 Thu","18:31:30","2020-10-15 Thu","18:46:48"
"441500050","2020-10-15 Thu","19:16:17","2020-10-15 Thu","19:53:33"
"441500050","2020-10-15 Thu","21:37:21","2020-10-15 Thu","22:00:08"
"441500050","2020-10-16 Fri","01:03:24","2020-10-16 Fri","01:48:49"
"441500050","2020-10-16 Fri","14:32:01","2020-10-16 Fri","15:58:56"
"441500060","2020-10-15 Thu","16:43:50","2020-10-15 Thu","17:52:20"
"442000030","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:35:50"
"442000030","2020-10-15 Thu","17:52:20","2020-10-15 Thu","18:23:40"
"442000030","2020-10-15 Thu","22:24:02","2020-10-15 Thu","22:47:33"
"442000030","2020-10-15 Thu","23:10:07","2020-10-15 Thu","23:33:37"
"442100020","2020-10-15 Thu","17:05:39","2020-10-15 Thu","17:29:33"
"442300010","2020-10-15 Thu","16:19:15","2020-10-15 Thu","17:52:20"
"442300010","2020-10-15 Thu","18:38:52","2020-10-15 Thu","19:01:41"
"442500030","2020-10-15 Thu","22:24:02","2020-10-15 Thu","23:10:07"
"442700030","2020-10-15 Thu","16:35:50","2020-10-15 Thu","16:51:30"
"442700030","2020-10-15 Thu","17:05:39","2020-10-15 Thu","17:29:33"
"442700030","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:23:40"
"442700030","2020-10-15 Thu","18:46:48","2020-10-15 Thu","19:23:57"
"447100020","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:15:33"
